F336 - 0.199,F439W - 0.162,F555W - 0.123,F814W - 0.069
22.838,23.766,21.084,21.828
22.84,23.209,21.589,22.302
22.841,22.316,21.142,20.544
22.842,23.13,22.442,22.143
22.846,22.942,21.364,21.686
22.848,22.189,23.493,24.121
22.848,23.681,23.898,19.327
22.848,23.082,22.377,20.235
22.856,21.454,22.029,22.24
22.857,23.14,21.861,22.11
22.859,21.21,22.526,20.326
22.859,21.701,20.526,21.686
22.859,21.897,23.062,21.392
22.866,23.305,21.293,20.401
22.87,23.018,22.971,20.699
22.875,20.958,21.287,16.945
22.885,22.78,21.756,22.214
22.888,22.837,22.939,21.412
22.89,20.243,22.367,22.151
22.893,22.397,23.007,23.098
22.899,22.27,24.142,22.88
22.904,20.97,23.12,23.226
22.911,20.583,21.543,22.793
22.913,21.679,23.524,22.112
22.917,24.183,22.16,21.822
22.921,22.087,20.853,19.847
22.922,21.402,21.834,21.633
22.928,22.192,22.285,23.328
22.929,20.99,19.562,21.985
22.93,19.793,24.194,20.999
22.934,22.27,22.327,22.158
22.941,20.949,21.945,22.132
22.942,21.266,22.256,21.807
22.942,21.695,23.006,18.936
22.954,19.334,20.69,21.442
22.957,21.659,22.376,21.281
22.957,19.035,22.782,22.61
22.965,20.297,21.858,21.278
22.967,22.305,21.638,23.412
22.971,22.746,20.683,20.891
22.974,23.193,21.889,21.315
22.975,21.765,23.973,21.539
22.979,20.344,22.558,20.262
22.984,21.597,20.735,21.412
22.992,22.038,22.428,20.118
22.994,22.818,23.05,23.13
22.995,21.608,20.3,19.15
22.996,24.123,23.063,22.531
23.002,21.199,21.657,24.16
23.009,23.264,20.66,23.571
23.015,22.2,22.881,22.649
23.015,22.948,19.653,21.179
23.019,23.537,21.723,21.531
23.023,21.038,21.069,19.937
23.024,21.446,20.549,22.151
23.029,20.855,23.124,19.729
23.03,23.19,19.427,21.553
23.031,21.798,21.745,21.264
23.034,22.234,22.412,21.083
23.037,24.251,20.266,22.166
23.042,22.374,22.046,18.928
23.043,23.883,19.687,22.564
23.044,23.368,22.341,23.358
23.045,23.404,22.134,22.085
23.045,21.922,23.517,21.429
23.046,24.024,24.325,20.419
23.068,20.443,23.301,19.544
23.069,22.464,22.103,20.979
23.069,22.173,22.908,18.453
23.07,23.305,21.591,22.392
23.074,21.572,22.706,21.372
23.079,21.593,24.17,21.687
23.082,20.892,20.429,21.787
23.082,22.286,20.718,21.714
23.085,20.804,21.042,21.897
23.086,21.161,21.488,22.639
23.088,21.3,22.7,22.168
23.091,23.416,23.721,20.944
23.092,22.793,21.475,19.881
23.099,23.608,22.85,22.648
23.102,20.211,21.143,20.752
23.104,23.932,23.499,21.503
23.105,20.507,23.651,21.723
23.106,19.826,23.227,22.535
23.117,21.572,19.364,21.677
23.12,21.676,22.567,23.429
23.143,22.45,20.837,22.489
23.147,21.262,24.212,21.482
23.148,21.556,20.927,21.547
23.149,19.383,23.261,21.906
23.149,21.59,21.613,20.844
23.152,21.121,22.265,22.248
23.153,21.84,20.699,19.843
23.158,22.119,24.372,21.566
23.162,21.914,23.316,23.126
23.166,23.337,22.456,22.074
23.168,22.419,22.176,21.266
23.176,21.161,22.42,21.214
23.182,21.234,22.814,21.708
23.191,23.148,20.918,22.46
23.196,22.464,23.806,21.842
23.196,20.759,21.775,21.733
23.201,20.34,22.374,22.289
23.203,22.084,20.361,19.369
23.203,21.848,24.232,20.688
23.219,23.056,23.569,23.257
23.221,22.705,23.668,23.391
23.222,23.065,23.566,20.523
23.233,22.037,21.816,23.718
23.233,22.07,23.706,20.429
23.234,22.601,21.093,21.007
23.234,21.728,23.087,18.916
23.234,18.49,22.374,22.459
23.244,22.049,22.266,23.617
23.269,23.356,21.342,22.289
23.27,22.769,22.894,21.476
23.272,22.049,22.293,20.472
23.273,22.594,22.684,20.612
23.273,21.399,23.088,22.703
23.278,20.399,22.547,20.5
